play_id,title,group_id,dominant_theme,theme_combination,avg_intensity,peak_scene_id,scene_count,speech_count,node_count,edge_count,density,linkage_hypotheses
01001001,空城计,01000000,权谋战争,权谋战争 + 仕途功名 + 神怪仙佛,23.920915,scene_001,6,104,12,46,0.69697,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01001002,洪羊洞,01000000,家庭伦理,家庭伦理 + 权谋战争 + 婚恋离合,31.421097,scene_006,10,152,11,23,0.418182,剧情存在多峰值推进
01001003,三娘教子,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,39.51897,scene_001,1,120,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01001004,乌盆计,01000000,公案审判,公案审判 + 离别流亡 + 家庭伦理,42.671958,scene_002,2,232,5,8,0.8,高冲突主题与较强叙事强度同步
01001005,打鼓骂曹,01000000,忠奸冲突,忠奸冲突 + 权谋战争 + 仕途功名,31.005039,scene_004,4,164,11,48,0.872727,高冲突主题与较强叙事强度同步
01001006,捉放曹,01000000,家庭伦理,家庭伦理 + 权谋战争 + 离别流亡,45.851764,scene_003,4,211,10,27,0.6,伦理/婚恋主题依赖较密集的人物关系呈现
01001007,桑园寄子,01000000,家庭伦理,家庭伦理 + 离别流亡 + 权谋战争,53.955275,scene_003,5,148,7,13,0.619048,伦理/婚恋主题依赖较密集的人物关系呈现
01001008,取成都,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,49.630814,scene_004,5,125,13,45,0.576923,伦理/婚恋主题依赖较密集的人物关系呈现
01001009,硃砂痣,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,24.153541,scene_002,6,206,8,17,0.607143,伦理/婚恋主题依赖较密集的人物关系呈现
01001010,黄金台,01000000,家庭伦理,家庭伦理 + 仕途功名 + 离别流亡,31.177567,scene_002,2,154,9,24,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01001011,文昭关,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,37.66976,scene_004,7,153,6,11,0.733333,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01001012,黄鹤楼,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,51.30025,scene_004,5,214,9,23,0.638889,高冲突主题与较强叙事强度同步
01001013,天水关,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,55.576328,scene_004,7,137,14,50,0.549451,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01001014,七星灯,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,43.510957,scene_002,5,144,11,32,0.581818,高冲突主题与较强叙事强度同步
01001015,战北原,01000000,权谋战争,权谋战争 + 家庭伦理 + 公案审判,56.439893,scene_001,1,85,7,21,1.0,高冲突主题与较强叙事强度同步;单场折子戏呈现集中式关系网络
01001016,牧羊卷,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,43.367181,scene_001,1,245,11,55,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01001017,清官册,01000000,仕途功名,仕途功名 + 家庭伦理 + 权谋战争,45.862478,scene_005,5,186,12,38,0.575758,
01001018,双狮图,01000000,家庭伦理,家庭伦理 + 复仇雪恨 + 仕途功名,42.180794,scene_001,1,105,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01001019,柴桑口,01000000,权谋战争,权谋战争 + 家庭伦理 + 复仇雪恨,39.229835,scene_002,3,71,7,15,0.714286,高冲突主题与较强叙事强度同步
01001020,宋江闹院,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,29.318661,scene_002,2,275,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01002001,李陵碑,01000000,家庭伦理,家庭伦理 + 权谋战争 + 神怪仙佛,56.348504,scene_005,5,30,6,7,0.466667,
01002003,祭长江,01000000,婚恋离合,婚恋离合 + 仕途功名 + 权谋战争,34.287536,scene_001,2,10,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01002004,探寒窑,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,39.502243,scene_001,1,84,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01002005,落花园,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 神怪仙佛,31.91359,scene_001,1,59,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01002006,探阴山,01000000,神怪仙佛,神怪仙佛 + 仕途功名 + 公案审判,50.127459,scene_001,1,66,5,10,1.0,单场折子戏呈现集中式关系网络;神怪主题可与舞台行动和情节转折联动分析
01002007,打金枝,01000000,家庭伦理,家庭伦理 + 仕途功名 + 婚恋离合,51.221667,scene_001,1,66,6,15,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01002008,八义图,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,57.227696,scene_001,4,168,6,12,0.8,伦理/婚恋主题依赖较密集的人物关系呈现
01002009,鱼肠剑,01000000,家庭伦理,家庭伦理 + 权谋战争 + 复仇雪恨,41.643245,scene_002,4,119,10,30,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01002010,钓金龟,01000000,家庭伦理,家庭伦理 + 忠义报国 + 仕途功名,44.902121,scene_001,1,118,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01002011,梅龙镇,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,39.086174,scene_002,2,313,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01002012,白门楼,01000000,权谋战争,权谋战争 + 忠奸冲突 + 家庭伦理,50.568642,scene_004,9,156,17,62,0.455882,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01002013,华容道,01000000,权谋战争,权谋战争 + 公案审判 + 离别流亡,48.827241,scene_001,1,40,4,6,1.0,高冲突主题与较强叙事强度同步;单场折子戏呈现集中式关系网络
01002014,宇宙锋,01000000,家庭伦理,家庭伦理 + 仕途功名 + 婚恋离合,34.836486,scene_002,2,101,6,15,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01002015,取帅印,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,39.338164,scene_001,3,149,8,22,0.785714,伦理/婚恋主题依赖较密集的人物关系呈现
01002016,打渔杀家,01000000,家庭伦理,家庭伦理 + 离别流亡 + 公案审判,52.259266,scene_005,6,434,14,54,0.593407,伦理/婚恋主题依赖较密集的人物关系呈现
01002017,黑风帕,01000000,家庭伦理,家庭伦理 + 权谋战争 + 婚恋离合,36.65587,scene_001,6,270,7,12,0.571429,伦理/婚恋主题依赖较密集的人物关系呈现
01002018,目莲救母,01000000,家庭伦理,家庭伦理 + 神怪仙佛 + 离别流亡,32.387971,scene_001,1,55,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01002019,红鸾禧,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,22.324686,scene_003,3,185,6,15,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01002020,白状元祭塔,01000000,家庭伦理,家庭伦理 + 仕途功名 + 神怪仙佛,35.980414,scene_001,2,31,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01003001,琼林宴,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,42.676194,scene_004,5,230,10,23,0.511111,伦理/婚恋主题依赖较密集的人物关系呈现
01003002,群英会,01000000,权谋战争,权谋战争 + 婚恋离合 + 家庭伦理,45.358593,scene_008,8,422,18,77,0.503268,高冲突主题与较强叙事强度同步
01003003,桑园会,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,29.185327,scene_003,4,134,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01003005,拾黄金,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 权谋战争,28.193974,scene_001,1,3,1,0,0.0,
01003006,辕门斩子,01000000,家庭伦理,家庭伦理 + 公案审判 + 权谋战争,47.199222,scene_001,1,193,9,36,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01003008,断太后,01000000,仕途功名,仕途功名 + 家庭伦理 + 公案审判,55.149703,scene_003,4,88,6,15,1.0,
01003009,打龙袍,01000000,仕途功名,仕途功名 + 家庭伦理 + 公案审判,42.455594,scene_003,6,122,12,38,0.575758,
01003010,战蒲关,01000000,权谋战争,权谋战争 + 家庭伦理 + 忠奸冲突,31.307483,scene_003,4,121,5,8,0.8,高冲突主题与较强叙事强度同步
01003011,斩黄袍,01000000,仕途功名,仕途功名 + 家庭伦理 + 公案审判,40.049949,scene_014,14,363,21,89,0.42381,剧情存在多峰值推进
01003012,彩楼配,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,41.29815,scene_002,4,106,10,33,0.733333,伦理/婚恋主题依赖较密集的人物关系呈现
01003013,滑油山,01000000,神怪仙佛,神怪仙佛 + 仕途功名 + 家庭伦理,46.241512,scene_001,1,28,4,6,1.0,单场折子戏呈现集中式关系网络;神怪主题可与舞台行动和情节转折联动分析
01003014,富春楼,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,30.573275,scene_001,1,69,2,1,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01003015,阴阳河,01000000,婚恋离合,婚恋离合 + 神怪仙佛 + 家庭伦理,35.673578,scene_001,3,127,4,5,0.833333,伦理/婚恋主题依赖较密集的人物关系呈现
01003016,打花鼓,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 神怪仙佛,42.514553,scene_001,1,276,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01003017,独木关,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,33.952246,scene_006,9,93,10,21,0.466667,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01003018,丑表功,01000000,家庭伦理,家庭伦理 + 离别流亡 + 婚恋离合,37.007613,scene_001,1,120,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;单场折子戏呈现集中式关系网络
01004001,逍遥津,01000000,仕途功名,仕途功名 + 家庭伦理 + 权谋战争,41.226417,scene_006,10,304,25,128,0.426667,剧情存在多峰值推进
01004004,盗宗卷,01000000,家庭伦理,家庭伦理 + 仕途功名 + 公案审判,38.289104,scene_002,6,277,12,32,0.484848,
01004006,辕门射戟,01000000,权谋战争,权谋战争 + 家庭伦理 + 离别流亡,40.652682,scene_003,4,217,12,43,0.651515,高冲突主题与较强叙事强度同步
01004007,取荥阳,01000000,权谋战争,权谋战争 + 仕途功名 + 家庭伦理,35.405922,scene_001,4,157,11,30,0.545455,高冲突主题与较强叙事强度同步
01004008,大保国,01000000,仕途功名,仕途功名 + 家庭伦理 + 忠义报国,45.120271,scene_001,1,187,6,15,1.0,单场折子戏呈现集中式关系网络
01004009,忠孝全,01000000,家庭伦理,家庭伦理 + 权谋战争 + 仕途功名,50.358401,scene_004,5,307,10,25,0.555556,伦理/婚恋主题依赖较密集的人物关系呈现
01004010,双投唐,01000000,仕途功名,仕途功名 + 家庭伦理 + 权谋战争,45.051426,scene_009,14,249,11,33,0.6,剧情存在多峰值推进
01004011,飞虎山,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,38.205506,scene_002,4,109,9,24,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01004012,女起解,01000000,家庭伦理,家庭伦理 + 离别流亡 + 仕途功名,38.243825,scene_003,3,143,5,7,0.7,伦理/婚恋主题依赖较密集的人物关系呈现
01004014,遗翠花,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,34.382584,scene_002,3,293,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01004015,新安驿,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 离别流亡,41.798153,scene_001,3,173,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01004016,小上坟,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,71.079961,scene_001,2,65,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01005001,武家坡,01000000,婚恋离合,婚恋离合 + 家庭伦理 + 仕途功名,32.355644,scene_001,2,218,3,3,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01005002,浣纱记,01000000,家庭伦理,家庭伦理 + 权谋战争 + 离别流亡,37.187089,scene_001,2,53,3,2,0.666667,伦理/婚恋主题依赖较密集的人物关系呈现
01005003,天雷报,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,49.391207,scene_003,6,288,11,24,0.436364,
01005005,沙陀国,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,49.038032,scene_001,5,171,5,10,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01005006,六月雪,01000000,家庭伦理,家庭伦理 + 公案审判 + 婚恋离合,53.143876,scene_002,2,105,6,15,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01005007,二进宫,01000000,仕途功名,仕途功名 + 家庭伦理 + 忠义报国,37.261662,scene_001,1,105,5,10,1.0,单场折子戏呈现集中式关系网络
01005008,玉堂春,01000000,公案审判,公案审判 + 家庭伦理 + 婚恋离合,37.545962,scene_001,1,243,9,36,1.0,高冲突主题与较强叙事强度同步;单场折子戏呈现集中式关系网络
01005009,孝感天,01000000,家庭伦理,家庭伦理 + 神怪仙佛 + 婚恋离合,55.541512,scene_001,2,25,4,6,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
01005010,御碑亭,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,28.01413,scene_012,13,300,21,66,0.314286,
01005011,回荆州,01000000,权谋战争,权谋战争 + 家庭伦理 + 仕途功名,45.685599,scene_009,17,251,15,42,0.4,高冲突主题与较强叙事强度同步;剧情存在多峰值推进
01005012,海潮珠,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,39.072151,scene_002,7,116,7,21,1.0,伦理/婚恋主题依赖较密集的人物关系呈现;剧情存在多峰值推进
01005013,双摇会,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 公案审判,26.768801,scene_002,2,399,6,13,0.866667,伦理/婚恋主题依赖较密集的人物关系呈现
01005014,胭脂虎,01000000,家庭伦理,家庭伦理 + 仕途功名 + 权谋战争,40.697674,scene_005,5,312,15,74,0.704762,伦理/婚恋主题依赖较密集的人物关系呈现
01005015,审李七,01000000,仕途功名,仕途功名 + 家庭伦理 + 公案审判,44.552761,scene_001,1,90,7,21,1.0,单场折子戏呈现集中式关系网络
01005016,大劈棺,01000000,家庭伦理,家庭伦理 + 婚恋离合 + 仕途功名,39.678071,scene_002,3,291,6,15,1.0,伦理/婚恋主题依赖较密集的人物关系呈现
